ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
Chung Wah,Medium Risk,0.5326238705153125,29.9,5.03,29,23.8551724137931,1.4804002921848378,1987.5,0.0,1.0,35.0,5.0,0,40.999999999999986,66,4,86,14981,2.8,25860,6122,8324,535,0,0,2160.0
Chung Pak,Medium Risk,0.6131053521527144,34.4,5.03,30,10.07333333333333,0.2224910982869881,2010.0,0.0,1.0,12.0,0.0,0,36.16923076923075,60,3,94,15715,2.8,34830,0,7976,7739,0,0,12000.0
Kingswood North,Medium Risk,0.417031844180603,23.4,5.03,100,10.915999999999993,0.5399075337736231,1996.0,0.0,4.0,36.0,3.0,0,18.63325183374082,57,3,72,22771,2.7,34270,0,0,22690,81,0,11800.0
Ping Shan Central,Medium Risk,0.5732601673047221,32.1,5.03,2683,11.972828922847494,1.755533990655821,2005.0,25.0,0.0,97.0,8.0,0,11.354640442532256,77,2,80,16850,2.7,28310,0,0,16116,0,734,6650.0
Kam Tin,High Risk,0.7176810095724836,40.2,5.4,2766,11.62523499638468,1.0513360353312886,2013.0,3.0,1.0,192.0,10.0,0,43.10161547666528,400,3,439,21876,2.7,33100,0,0,20903,173,800,10000.0
Yuet Yan,Low Risk,0.2687369959321384,15.1,5.03,37,9.878378378378375,0.3644113921154723,1987.5,0.0,1.0,35.0,5.0,0,41.913978494623656,65,6,82,18418,2.3,13940,18224,0,0,193,1,1840.0
Fu Yan,High Risk,0.7453138350182441,41.8,5.03,36,12.263888888888886,0.27777673614535375,2016.0,0.0,0.0,0.0,1.0,0,59.40555555555558,76,5,97,19008,2.9,25190,4301,14181,526,0,0,2150.0
Ching King,Medium Risk,0.6310382515068503,35.4,5.03,55,13.429090909090919,0.7612209727228854,2007.0,0.0,3.0,3.0,2.0,0,8.54242424242424,24,4,30,19055,2.6,18250,15879,0,3032,144,0,1900.0
Yat Chak,Medium Risk,0.4264243230520852,23.9,5.03,33,18.230303030303038,1.8778022203751923,1987.5,0.0,1.0,35.0,5.0,0,58.34228187919464,73,5,97,17878,3.1,25390,17822,0,0,56,0,2230.0
Pat Heung North,High Risk,0.7817848548824395,43.8,7.15,4155,11.552611311672596,0.6367430067221482,2008.0,0.0,1.0,384.0,3.0,0,124.79824697086872,545,3,557,17543,2.8,28580,0,0,16484,45,1014,8000.0
Wang Yat,High Risk,0.8144828393606827,45.6,5.03,41,12.719512195121965,0.3155662350973998,2020.0,0.0,3.0,78.0,2.0,0,10.257595772787305,66,2,79,20059,3.4,27500,19162,0,897,0,0,2560.0
Tin Heng,High Risk,0.9040597099114993,50.7,5.03,25,15.860000000000003,0.6527095279488377,2022.0,0.0,0.0,10.0,0.0,0,28.09583333333333,78,2,95,21125,3.7,28920,21125,0,0,0,0,3220.0
Ha Tsuen,Medium Risk,0.4599096205702166,25.8,4.96,3316,11.882177322074742,0.6888980433241232,1998.0,0.0,0.0,76.0,7.0,1,43.412210667561084,315,0,323,21060,2.9,29610,0,0,16869,317,3874,6500.0
Fairview Park,Medium Risk,0.39917793883798897,22.4,5.4,6642,10.795287563986747,2.6672294684009885,1993.0,0.0,6.0,2850.0,23.0,0,3.623910171730511,11,0,10,20268,3.3,66520,0,0,20154,38,76,26000.0
Ping Shan North,Medium Risk,0.3991520752317142,22.4,5.03,3217,11.572956170345133,1.138293562070075,1994.0,83.0,2.0,0.0,6.0,1,7.166034515456114,54,0,55,14902,2.8,23860,0,0,14494,0,408,7500.0
San Tin,Medium Risk,0.5996917275266003,33.6,5.4,5108,10.989780736100329,0.6218252566899314,2006.0,0.0,1.0,709.0,9.0,0,39.98655844155849,534,1,554,17759,2.8,20040,0,0,15530,20,2209,5300.0
Pek Long,Low Risk,0.22018215823380854,12.3,5.03,15,7.306666666666668,0.5022417560893233,1987.5,0.0,1.0,35.0,5.0,0,18.835164835164832,24,9,32,12720,2.7,21350,2736,9916,68,0,0,1430.0
Shap Pat Heung North,High Risk,0.8326097931740892,46.7,5.03,1967,12.075648195221056,2.859902351398372,2022.0,0.0,2.0,15.0,4.0,0,6.013257575757578,26,2,27,14081,2.6,33140,0,0,12838,56,1187,7300.0
Hung Fuk,High Risk,0.9220544100876333,51.7,5.03,18,16.011111111111106,0.3479342751841483,2023.0,0.0,0.0,11.0,0.0,0,5.177777777777779,6,3,8,11851,2.5,15170,11805,0,0,46,0,1890.0
Shing Yan,Medium Risk,0.4790948004521364,26.9,5.03,10,21.019999999999996,0.8870475019700754,1987.5,0.0,1.0,35.0,5.0,0,28.937499999999993,39,5,89,14300,2.9,32450,0,13738,562,0,0,8000.0
Wai King,Medium Risk,0.6413814287087596,35.9,6.57,68,11.807352941176465,0.18961296572420508,2001.5,0.0,0.0,18.0,6.0,1,79.44589000591365,204,0,204,14342,2.7,68930,0,0,14340,0,2,17600.0
Do Shin,High Risk,0.7625003444430192,42.7,6.57,26,13.811538461538461,1.736516770026378,2007.0,0.0,0.0,10.0,4.0,0,11.96629213483146,28,4,38,15295,2.8,39040,4037,0,11258,0,0,2500.0
Kin Ming,High Risk,0.9002779815053561,50.5,6.57,27,11.485185185185173,1.0057203910213672,2019.0,0.0,0.0,2.0,1.0,0,41.398230088495566,42,14,64,15773,2.8,23250,15118,655,0,0,0,3260.0
Hoi Chun,High Risk,0.9504275956263379,53.3,7.12,44,12.593181818181819,0.31956543194599496,2018.0,0.0,0.0,154.0,4.0,1,4.4920071047957375,16,0,15,23777,2.8,64170,0,3368,20409,0,0,20800.0
Wan Po South,High Risk,0.8474562763750226,47.5,6.69,78,12.184615384615391,0.11432526845972364,2014.0,39.0,15.0,54.0,14.0,1,5.215929203539829,20,0,20,33452,3.0,61380,0,0,33367,85,0,17900.0
Choi Kin,High Risk,0.8173803721904426,45.8,7.12,37,11.962162162162151,0.9334405972213577,2010.0,0.0,0.0,0.0,3.0,0,21.26775956284153,55,2,70,18380,2.9,27600,12549,5604,227,0,0,2820.0
